2024-10-04 14:43:53,515 INFO  [main] c.n.R.B.BaseAPITest - Extent Report Initialized successfully
2024-10-04 14:43:57,443 INFO  [main] c.n.R.B.BaseAPITest - REQUEST PAYLOAD :{"id":1,"idBook":6,"firstName":"AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","lastName":"BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB"}
2024-10-04 14:43:57,914 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 405
2024-10-04 14:43:57,914 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 14:43:57,915 INFO  [main] c.n.R.B.BaseAPITest - Assertion Failed - Author updated with max length fields
2024-10-04 14:43:58,182 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 14:43:58,183 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : PUT
2024-10-04 14:43:58,183 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/authors/books/{id}
2024-10-04 14:43:58,183 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 14:43:58,183 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 14:43:58,183 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {id=1}
2024-10-04 14:43:58,184 INFO  [main] c.n.R.B.BaseAPITest - REQUEST PAYLOAD :{"id":1,"idBook":9,"firstName":"Existing FirstName","lastName":"Existing LastName"}
2024-10-04 14:43:58,653 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 405
2024-10-04 14:43:58,654 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 14:43:58,654 INFO  [main] c.n.R.B.BaseAPITest - Assertion Failed - No changes made to the author
